,Date,Open,High,Low,Close,Volume,50_day_MA,100_day_MA,Log_return,Volatility,Risk-free Rate
0,2015-07-20,108.65,108.78,108.29,108.57,76179.0,108.05560000000001,107.873341,0.001474790570560315,0.14250704568608108,0.023799999999999998
1,2015-07-21,108.53,108.732,107.8501,108.04,101836.0,108.0508,107.88544099999999,-0.0048935973193458635,0.14244075723783556,0.0235
2,2015-07-22,107.53,108.25,107.53,108.09,113242.0,108.05380000000001,107.89964099999999,0.0004626845036966584,0.14249535030562685,0.0233
3,2015-07-23,108.4,108.8299,107.66,107.82,123288.0,108.05380000000001,107.900641,-0.0025010434045889484,0.1384859299655233,0.022799999999999997
4,2015-07-24,107.67,107.84,106.39,106.69,227419.0,108.03439999999999,107.895741,-0.010535736820152762,0.1430574975910241,0.0227
5,2015-07-27,106.04,106.14,105.4,105.56,109254.0,107.9744,107.88644099999999,-0.010647921568246574,0.14726750921617865,0.0223
6,2015-07-28,106.15,107.02,105.516,106.86,124250.0,107.9358,107.883941,0.012240054894502006,0.13027421656593274,0.0226
7,2015-07-29,106.91,107.89,106.65,107.82,99865.0,107.90579999999999,107.907341,0.008943603493897412,0.13156958477129388,0.0229
8,2015-07-30,107.46,107.95,106.95,107.92,81733.0,107.88159999999999,107.927241,0.0009270418759778141,0.13119477906681587,0.022799999999999997
9,2015-07-31,108.08,108.532,107.97,108.12,95921.0,107.8618,107.962441,0.0018515095087465175,0.13123426487868228,0.022000000000000002
10,2015-08-03,108.21,108.21,107.1311,107.62,146205.0,107.8258,107.988941,-0.004635217346973249,0.13144404683574215,0.0216
11,2015-08-04,107.77,108.18,107.4584,107.79,108552.0,107.7966,108.00424100000001,0.0015783857322634635,0.1292971438334686,0.0223
12,2015-08-05,108.15,108.81,108.04,108.2,196177.0,107.79700000000001,108.027641,0.003796476618844003,0.10858557968270734,0.022799999999999997
13,2015-08-06,108.17,108.17,106.09,106.5319,86056.0,107.745638,108.01975999999999,-0.015536895596778821,0.1236977189607335,0.0223
14,2015-08-07,106.59,106.6194,105.81,106.42,60730.0,107.69943800000001,108.01225999999998,-0.0010509416473790559,0.11481899990206537,0.0218
15,2015-08-10,107.17,107.86,107.17,107.745,84145.0,107.696338,108.00784900000001,0.012373795026651507,0.11510191352755401,0.022400000000000003
16,2015-08-11,106.99,107.32,106.46,106.94,186685.0,107.671938,107.99494899999999,-0.007499394674289144,0.11643199695717416,0.0215
17,2015-08-12,106.14,107.05,105.15,106.97,143468.0,107.646538,107.97464900000001,0.0002804917974539738,0.11569838263695122,0.021400000000000002
18,2015-08-13,106.99,107.55,106.66,107.08,94081.0,107.620538,107.959449,0.0010277973341121943,0.11407647223393666,0.0219
19,2015-08-14,106.99,107.5899,106.8951,107.5,142774.0,107.621338,107.952849,0.003914628915565797,0.1148321099593973,0.022000000000000002
20,2015-08-17,107.3,108.39,106.93,108.39,90587.0,107.632338,107.974449,0.008244986259941169,0.11876231935897379,0.0216
21,2015-08-18,108.35,108.6,108.04,108.2,136740.0,107.65633799999999,107.99474900000001,-0.001754467415277338,0.11759282033613512,0.022000000000000002
22,2015-08-19,107.76,108.1549,106.7732,107.41,151877.0,107.669138,107.998349,-0.007328078802425527,0.12046789443663544,0.0212
23,2015-08-20,106.39,106.5951,104.57,104.64,171414.0,107.60513800000001,107.959949,-0.026127399901067015,0.15137895577681157,0.0209
24,2015-08-21,103.55,104.0,101.54,101.54,1651945.0,107.469938,107.895149,-0.030073078189640293,0.18002648270261085,0.020499999999999997
25,2015-08-24,97.17,100.7501,84.46,97.68,913315.0,107.265738,107.801849,-0.038755979716799,0.22013411856049858,0.020099999999999996
26,2015-08-25,98.65,101.74,97.08,97.08,279274.0,107.06093800000001,107.69534900000001,-0.006161448944048687,0.21179570070422996,0.0212
27,2015-08-26,99.28,100.25,97.25,100.16,178486.0,106.90713799999999,107.61364900000001,0.031233526493387738,0.2433995024336156,0.0218
28,2015-08-27,101.09,102.9899,100.9,102.72,752835.0,106.793338,107.561149,0.025237932589862754,0.2639397343023616,0.0218
29,2015-08-28,102.45,103.24,102.26,103.02,249676.0,106.661138,107.50364900000001,0.0029163041957880166,0.26419785572225113,0.0219
30,2015-08-31,102.43,103.03,101.7401,101.8,194688.0,106.510738,107.430849,-0.011913040021016789,0.26626364669147123,0.022099999999999998
31,2015-09-01,100.79,100.79,98.5,99.0,244493.0,106.295738,107.328149,-0.02789025398183244,0.2800560542188583,0.0217
32,2015-09-02,99.99,100.98,99.28,100.98,225696.0,106.120738,107.24964899999999,0.01980262729617973,0.2916800671504865,0.022000000000000002
33,2015-09-03,101.35,102.336,100.88,101.18,132410.0,105.971538,107.174249,0.0019786314330203208,0.2886665682624238,0.0218
34,2015-09-04,100.17,100.64,99.36,99.87,167450.0,105.800338,107.080749,-0.013031768608746766,0.29095007919497823,0.0213
35,2015-09-08,101.48,102.52,100.98,102.46,68795.0,105.684138,107.014349,0.025603138256012865,0.30383225788498636,0.022000000000000002
36,2015-09-09,103.34,103.42,100.9305,101.1,165595.0,105.59013800000001,106.948649,-0.013362352484630483,0.30581429534588894,0.022099999999999998
37,2015-09-10,100.86,102.15,100.86,101.4,143754.0,105.486738,106.876449,0.00296296513065727,0.3063214094994539,0.0223
38,2015-09-11,101.07,101.96,100.72,101.96,100140.0,105.387538,106.806849,0.0055074883508318,0.3074500183631179,0.022000000000000002
39,2015-09-14,102.14,102.14,101.22,101.52,82626.0,105.28053800000002,106.72884900000001,-0.0043247561017823975,0.30657770116229505,0.0218
40,2015-09-15,101.8,102.83,101.4424,102.66,137751.0,105.20533800000001,106.65744900000001,0.011166733726024877,0.30815297461527563,0.022799999999999997
41,2015-09-16,102.59,103.63,102.47,103.57,128607.0,105.13333800000001,106.600749,0.008825155468630295,0.3108670173932499,0.023
42,2015-09-17,103.5,105.1,103.47,103.62,121952.0,105.10193799999999,106.55134899999999,0.0004826487858548481,0.3103896770176162,0.022099999999999998
43,2015-09-18,102.45,103.2994,101.95,102.13,219644.0,105.033338,106.48974900000002,-0.01448384979663474,0.3008903441958637,0.0213
44,2015-09-21,102.48,103.58,101.86,102.35,95111.0,104.94193800000001,106.43384900000001,0.0021518005172909646,0.2809811398986157,0.022000000000000002
45,2015-09-22,101.16,101.217,100.04,100.73,115094.0,104.79193799999999,106.37254899999999,-0.015954642152708656,0.24863603077244703,0.021400000000000002
46,2015-09-23,100.49,100.6494,99.674,99.96,61725.0,104.616738,106.290149,-0.007673563987838195,0.24931404007252878,0.0216
47,2015-09-24,99.4,99.44,98.11,99.17,171961.0,104.43533799999999,106.19744899999999,-0.007934556768717857,0.22484482854862292,0.0213
48,2015-09-25,100.01,100.083,98.22,98.89,111969.0,104.23773800000001,106.11786900000001,-0.0028274279161343303,0.203275958373025,0.0217
49,2015-09-28,98.46,98.46,95.32,95.62,582624.0,103.98193800000001,106.005669,-0.03362611808394207,0.23125300820378014,0.021
50,2015-09-29,95.75,96.4906,94.7601,95.31,1573928.0,103.71673799999999,105.886169,-0.0032472662484228426,0.2292213739820729,0.020499999999999997
